# 年, 1月, 2月, 3月, 4月, 5月, 6月, 7月, 8月, 9月, 10月, 11月, 12月, 年間
1982, , , 3, , 1, 3, 3, 5, 5, 3, 1, 1, 25
1983, , , , , , 1, 3, 5, 2, 5, 5, 2, 23
1984, , , , , , 2, 5, 5, 4, 7, 3, 1, 27
1985, 2, , , , 1, 3, 1, 8, 5, 4, 1, 2, 27
1986, , 1, , 1, 2, 2, 3, 5, 3, 5, 4, 3, 29
1987, 1, , , 1, , 2, 4, 4, 6, 2, 2, 1, 23
1988, 1, , , , 1, 3, 2, 8, 8, 5, 2, 1, 31
1989, 1, , , 1, 2, 2, 7, 5, 6, 4, 3, 1, 32
1990, 1, , , 1, 1, 3, 4, 6, 4, 4, 4, 1, 29
1991, , , 2, 1, 1, 1, 4, 5, 6, 3, 6, , 29
1992, 1, 1, , , , 2, 4, 8, 5, 7, 3, , 31
1993, , , 1, , , 1, 4, 7, 5, 5, 2, 3, 28
1994, , , , 1, 1, 2, 7, 9, 8, 6, , 2, 36
1995, , , , 1, , 1, 2, 6, 5, 6, 1, 1, 23
1996, , 1, , 1, 2, , 5, 6, 6, 2, 2, 1, 26
1997, , , , 2, 3, 3, 4, 6, 4, 3, 2, 1, 28
1998, , , , , , , 1, 3, 5, 2, 3, 2, 16
1999, , , , 2, , 1, 4, 6, 6, 2, 1, , 22
2000, , , , , 2, , 5, 6, 5, 2, 2, 1, 23
2001, , , , , 1, 2, 5, 6, 5, 3, 1, 3, 26
2002, 1, 1, , , 1, 3, 5, 6, 4, 2, 2, 1, 26
2003, 1, , , 1, 2, 2, 2, 5, 3, 3, 2, , 21
2004, , , , 1, 2, 5, 2, 8, 3, 3, 3, 2, 29
2005, 1, , 1, 1, 1, , 5, 5, 5, 2, 2, , 23
2006, , , , , 1, 1, 3, 7, 3, 4, 2, 2, 23
2007, , , , 1, 1, , 3, 4, 5, 6, 4, , 24
2008, , , , 1, 4, 1, 2, 4, 4, 2, 3, 1, 22
2009, , , , , 2, 2, 2, 5, 7, 3, 1, , 22
2010, , , 1, , , , 2, 5, 4, 2, , , 14
